"NAME of Museum/Art Organization/Institution. Or REGION, MUSEUM TYPE, or # OF EMPLOYEES AT ORG (all museum types, profit/non-profit galleries, sizes, countries, warmly welcomed)",Role ,Department,City,Country,Starting salary ,Year of starting salary ,Current (2019) or Ending Salary,Hourly (H) /  Permanent (P) / Contingent/Finite Term Employment (C) ,"If part-time / Hourly (H) / Contingent/Finite Term Employment (C), how many hours/week",Benefits?,"Year this salary was current (if a current salary, put 2019)",Years of experience in field at time of current salary listed,Parental leave policy at organization (+ who is eligible),"Optional: Identify your gender or preferred pronouns--ND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Optional: Identify your race with your preferred designation AND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Degrees required for position when hired/If applicable, if institution helped pay for furthering your education",Visa sponsorship paid/facilitated by organization,Notes
Museo de Arte Moderno de Buenos Aires,Bilingual educator,Education,Ciudad Autónoma de Buenos Aires,Argentina,"447,38 US$","$2,019.00 ","447,38 US$",Permanent,35 hours a week,,2019,3 months,45 days before birth and 45 days after giving birth,Cis female,White latin american,Bachelor of Fine Arts,No,
[Non-Profit Arts Center ],Development Coordinator ,Development ,Santa Fe ,U.S. ,"$33,000 ",2019,"$35,000 ",P,,"Health, Vision, Dental, 3 Weeks PTO ",2019,2,None ,Cis female (she/her) ,White ,BA (I have an MFA) ,No ,"Main responsibilities are membership, grant writing, event coordination, keeping track of all charitable gifts, assistant to the Director of Development "
Huntington Theatre Company,Executive Assistant to the Managing Director,,"Boston, MA",USA,16.25,2015,18.5,H,N/A,Yes,2019,3,don't remember,cis female (she/her/hers),white,college educated,unknown,
Boston Ballet,Manager of the Young Partners / Development Coordinator,Development,"Boston, MA",USA,"50,000",2018,"50,000",P,N/A,yes,2019,4,unknown,cis female (she/her/hers),white,college degree,unknown,
Museum of Modern Art,Graduate Research Fellow (Curatorial),,New York,United States,"$31,500 ",2017,"$31,500 ",C,40 hrs/wk,None,2017,10,not eligible,cis female / she,,PhD candidates only / no,,
[Midwest Academic Art Museum],Assistant Curator of Education,Public Programs (School Programs),,USA,"38,000",2018,"38,000",P,,"Health insurance (incl. dental, vision, life insurance) 403(b) with matching up to 5% of salary, use of campus facilities",2019,1,,"CIS Female, She/Her/Hers",White,"Bachelor's degree, Master's preferred",,
[Private Foundation],Communications Manager,Communications/PR,"Santa Fe, NM",USA,"$45,000 ","$2,019.00 ","$45,000 ",P,,"Health, vision, dental",2019,5,,cis female; she/her,white,BA,,
John Michael Kohler Arts  Center,Associate Registrar,Collections and Exhibitions,Sheboygan,United States,"$42,000 ",2016,"$47,000 ",Permanent,,"Medical, dental and vision insurance, maternity/ paternity, PTO, 4013b Contribution",2019,5,Anyone with a recent birth,cis male,caucasion,Masters degree,Not applicable,"The raise in salary was provided as the Obama administration was planning to vote in a mandatory salary for full time, salaried employees to $47,000.  That mandate never became law.  Current, incoming Associate Registrars are slated to start at closer to the $42,000 mark with an annual raise of 2-3.5%"
ONE National Gay & Lesbian Archives at the University of Southern California Libraries,Curator,,Los Angeles,United States,"50,600",2014,"54,800",Permanent,,"Heath care (medical, dental, eye care), tuition assistance, retirement plan match",2018,8,,Cis male,White,,,
[ANthropology Museum in Southern California],Deputy Director,,,,"$91,000 ","$2,014.00 ","$125,000 ",(P),,Yes,2019,18,CA state standard,Cis Male,Latinx,,,
[Small New England art museum/ Staff of 15],Education Associate,Education,,US,"$35,000 ",,"$35,000 ",P,,"Employee-contributed medical, dental, 403b matched at 2%",2019,2,6 weeks paid disability leave; must use sick and personal time,Cis woman,White,M.A. preferred,,
[intentionally left blank],Historic Interpreter,Curatorial Department,Savannah,United States,11.00 a hour,"$2,018.00 ",11.13 an hour,H P,,yes,2019,5,no eligible,Cis Woman,Black,"Bachelors required, most interpreters have Masters ",,
New-York Historical Society,Curatorial Intern,Curatorial,New York,USA,"$3,000 stipend",2017,"$3,000 stipend",C,35,,2017,"BA, some grad school, internships",,cis woman,white,,,"Stipend is a flat rate of pay, so people who had only completed one year of college at the time of the internship received the same pay as those in graduate school. Interns were required to participate in weekly talks and field trips which were often insufferable and insulting for more advanced students."
Victorian and Albert Museum,Assistant Curator ,Collections ,London,United Kingdom,£21500,2016,£22330,,,"Free exhibition entry , subsidized canteen, local business discount",2019,3,Maternity and Paternity leave is available but I do not know the full details,"Cis Woman, She/Her",White,Undergraduate ,N/A,
Cineworks Independent Filmmakers Society,Community + Education Liaison,,Vancouver,Canada,"$32,769 CAD",2019,,(C),28,Yes,2019,7,,"Cis woman, she/her/hers",,,N/A,Negotiated contract to 24-hours working directly in-office or from-home with a flex 4 hours/week in community engagement/service. This was designed so the hourly rate would not be higher than ED & Facilities Manager.
"[Pacific Northwest, Science Museum]",Office Manager,,Portland,United States,$15 (As Executive Assistant),2016,$17.66 ,H,,100% Healthcare Premium Paid,2019,8,N/a,"Cis woman, she/hers",White,"Bachelor's required, but I have a master's and am working on an MBA. My org is not paying for the MBA.",No,
"[Small arts nonprofit, 6 full-time employees, NYC]",Communications Associate,Communications,NYC,USA,"36,000","$2,018.00 ","37,000",Permanent,,"Health, 401K",2019,,,cis woman: she/her,Latinx,,,
"Literary Author Museum, Connecticut",Director of Development,Development,Hartford,USA,"67,000",2010,"$69,000 ",P,60,yes,2016,12,Short term disability,Cisfemale,,"BA, no",,"Proposed bonus structure at signing, later reneged despite hitting metrics"
Carnegie Museum of Art,Curatorial Assistant,Curatorial,Pittsburgh,United States,"$14.62/hour ($28,500)",2015,$15.71/hour,Hourly / Permanent,37.5 hours/week,"Health, vision, dental, discounted parking and public bus, accrued sick time, 10 vacation days + 4 floating holidays (does not rollover)",2019,,,"Cis-female, she/her",White,Master's preferred (minimum BA),,"This most recent year, there was the possibility of being rewarded up to a 3% increase in pay; previous years were restricted to only a 1% increase at maximum"
[Historic House Museum],Programs & Collections Coordinator,Education / Collections / Curatorial,"Boston, MA",United States,"40,000",2017,"42,000",,,None,,Five,Unpaid parental leave,Cisgender female,White,,,
History Museum in the South,Asst. Registrar,Collections,,US,"$43,200.00 ",,"$43,628.00 ",P ,,,2019,,"Available, but have to check specifics",Cisgender woman,,,,
"[Northeast, History, 50 FT/150 PT]",Manager,Library,[New York State],US,"60,000","$2,011.00 ","68,000",P,,"earned vacation, earned sick time, health insurance (high out-of-pocket cost), 403b (with employer contribution), FSA (optional)",2017,14,2 weeks paid (pregnant person only),cisgendered woman,white,Masters required; no pay for education; some funding for professional development (requests approved on case-by-case basis),No,
Palm Springs Art Museum ,Associate Curator,,"Palm Springs, CA",United States,"62,500","$2,018.00 ","62,500",P,,"Heath care (medical, dental, vision), 401k match after year of employment",2019,9,,Cis-male,White,,,
[Large midwest history museum],Evaluator,,,USA,"42,000",2016,"43,000",HP,,Y,20119,5,12 weeks unpaid,cis-woman,Option 1,BA/BS in social sciences,,
"[DC Metro, Non-profit Arts Org (with Gallery), 40]",Art Coordinator,Visual Arts,"Washington, DC",USA,$17/hr,2015,"$19/hr ($39,000)",H,40,Yes,2019,4,Yes + everyone,Ciswoman (she/her),White (and 1/2 Latina),Bachelors,,"Started at 19 hours, promoted to 30 hours, currently 40 hours/week"
Smithsonian Institution,Curator,Archives of American Art,Washington DC,USA,N/A,2015,"$76,541.00 ",P,,Yes,2019,4,Don't know,Dude,Chicanx,Preferred PhD,,
Longwood Art Gallery @ Hostos (non-profit with only 2 FT employees),Art Handler/Installer,,"Bronx, NY",United States,25/hr,"$2,015.00 ",25/hr,C,35,None,2015,0,None,F,Latinx,None ,None,
The Art Institute of Chicago,Curatorial Intern,Curatorial,Chicago,USA,$0 ,2019,$0 ,$0 ,30,None,,0,0,F,,"Masters, No aid offered",,
[Art company in Hong Kong],Manager,Marketing and operation,Hong Kong,Hong Kong,"HKD16,000",2014,"HKD21,000",P,-,Annual Leave (The number of days is lesser than other companies),2019,1,10 weeks' paid maternity leave + 5 days for hubby (by law),F,Chinese,"Degrees required, no education subsidy from company",not applicable ,
[Art Museum - Los Angeles],Project Coordinator,Education,Los Angeles,United States,46000,2019,,P,,"Health, Dental, 401k",2019,1,,F,mixed race - asian/middle eastern,Bachelors degree,,
[Gallery (3 employees)],Assistant,Press,New York City,USA,"$35,000 ",2018,"$35,000 ",P,,"No benefits, not even slight transportation coverage. No raises and no overtime pay. Kept in the dark regarding vacation and sick days.",2019,1,,F,W,,,Has an MA in Art History. Does moderate to heavy manual labor in position despite no benefits.
[Intentionally left blank],Producer,production,rio de janeiro,brazil,"br$ 12.000,00",2018,,C,8h/w,no,2019,1,no,F,w,bachelor,,
Metropolitan Museum of Art,Collections Management Assistant ,Collections ,"New York, NY",United States,$20/hour,2012,$20/hour,H,16,No,2013,1,,F,Option 1,MA,,
Rural Louisiana Americorps Site],Education Program Assistant,Education,,United States,"$9,865 ","$1,997.00 ","$9,865 (1998)",C,40,Education award after year served BUT student loans accrued interest during service year diminishing the value of the award amount.,1998,1,,F,W,Bachelors,,Took this service job since it was the only way to gain entry into museum work. Had to live with parents to do so.
Tate,Corporate Partnerships Account Manager,Development,London,UK,,"$2,019.00 ",Current,P,,Defined benefits ,2019,1,Yes,F,White,,,
[University Museum in the Southeast],Curator,curatorial,Atlanta,USA,"60,000",2013,"70,000",P,,yes,2019,2,"12 weeks (3 weeks paid), eligible after 1 yr.",F,white,PhD,N/A,
Brooke,Administrative Assistant,,New York City,United States,15/hr,2014,$15/hr,H,,None,2015,2,No,F,,Bachelors of Art,,
Brooklyn Museum,Exhibition Project Manager,Exhibitions,Brooklyn,USA,"51,000",2018,"51,000",H/FT Employee,35,Yes,2019,2,,F,,BA or MA,,
Guggenheim,Development assistant ,Development ,New York City ,USA ,"30,000",2013,2014,P,,No,2014,2,I don’t remember ,F,White ,BA ,Don’t recall,
Holocaust museum ,Collections Manager,Collections ,New York ,United States,$20/hour ,2013,$25/hour ,H,26,Paid sick leave ,2017,2,no ,F,,MA,,I got the raise from $20-$25/hour by threatening to leave because my paycheck didn't cover my childcare costs. 
NYC arts council,Development Manager,Development and External Affairs,Brooklyn,USA,"$44,000 ",2018,"$44,000 ",P,,Y,2019,2,unknown,F,W,"bachelor's degree required, advanced degree preferred. No tuition support, but flexible schedule.",n/a,
Sadie Coles HQ,Gallery Assistant,Exhibitions ,London,UK,£18000,2009,£18000,P,,None,2009,2,Nothing in writing,F,Caucasian ,BA Hons,No,
San Francisco museum of modern art ,Tech 1 art handler ,installation ,,,23/hr,,27/hr,HP,,Y,2019,2,,F,White,,,
[Art Gallery],Communications,Paris,Paris,France,19800 (gross salary),2016,33850 (gross salary),P / full time,,"transports, health insurance",2019,3,2 months paid,F,,,,
[Major Museum in Germany],Assistant Curator,Contemporary Art,,Germany,EUR 21.600,"$2,016.00 ",EUR 43.200 ,P,,,2019,3,,f,,,,
[SF Bay Area Art Museum],Events Coordinator,,,USA,"50,000","$2,017.00 ","$55,000 ",P,,"Medical, dental, retirement, vision",2019,3,,F,Asian,,,
Indianapolis Museum of Art,Graphic Designer,Design,Indianapolis ,US,"30,000",2016,"37,000",P,,"12 weeks fully paid parental leave for both parents. We also have unlimited vacation, with 2 weeks of mandatory vacation (one of those weeks must be consecutive) for all full-time employees.",2019,3,12 weeks fully paid parental leave for both parents,F,Black,BA,,
Philadelphia Museum of Art,Public Programs Assistant,Education,Philadelphia,USA,,,31000,H,35,,2019,3,,F,Option 1,,,
Williamstown Art Conservation Center,Pre-Program Intern,Conservation,Williamstown,United States of America,$14/hr,"2,014.00","27,000",Hourly then Permanent,37 hours/week,Yes,2017,3,,F,White,,,Pre-Program Internship
[Gallery],Gallery Assistant,,Brussels,Belgium,28200 EUR,"$2,019.00 ",28200 EUR,P,,,2019,4,,F,White,,,
[Large Los Angeles Art Museum],Publicist,,Los Angeles,US,55000,2018,55000,H,,"Medical, dental, 403b, life",2019,4,,F,Asian,Bachelors,,
[Media art nonprofit],Tech assistant,,New York,US,$20/hour,2016,,(H) (C),16,none,2016,4,,F,White,Bach,,
[Medium-sized Museum and Cultural Center in Los Angeles],Assistant Curator,Curatorial,Los Angeles,USA,"27,000","$2,011.00 ","37,000 (2015)",H / P,,"HMO, vision/dental, small contribution to retirement savings",2015,4,,F,White,I had an MA; it wasn't required.,,
[Mid-size Museum in Pennsylvania],Curatorial Assistant,Curatorial,,US,"$28,500.00 ",,"$29,300.00 ","full-time, hourly",,,2019,4,None (unpaid FMLA only),F,White,"BA, MA preferred",,
[Science Center - Florida],,Exhibits,,United States,"28,000",2015,"33,000",P,,,2019,4,,F,W,,,
[Science Center - Florida],,Exhibits,,United States,"28,000",2015,"33,000",P,,,2019,4,,F,W,,,
[West coast art museum ],Curatorial Fellow,Curatorial,,USA,"$49,920 ",2019,"$49,920 ",C,,Yes,2019,4,,F,Latinx,MA,,
Allentown Art Museum,Museum Educator,Educator,"Allentown, PA",United States,"41,000",2015,"41,000",P,,Yes,2017,4,,F,Southeast Asian,Masters,,hired to replace 1 FT 3 PT staff; salary partially funded by state grant  
High Museum of Art,Curatorial Assistant,Curatorial,Atlanta,USA,"41,600",2016,"45,760",H/P,,"Yes, no family leace",2018,4,"none paid, permitted 6 weeks of own sick/vacation time",F,white,BA/no support for Masters,,"Worked on Assistant/Associate Curator level, curated exhibitions independently and brokered acquisitions, requested title change and promotion repeatedly and was never granted one."
MoMA PS1,Part time art handler,Exhibitions,Queens ,United States,$30/hr,2018,32.50/hr,H,40,No,2019,4,I don’t know.,F,White,,,"Additionally, art handlers here are unionized"
[Mid-size Midwest Art Museum],Marketing Coordinator,Communications/Marketing,Chicago,USA,$20.43 ,2017,$21.04 ,H,80,Y,2019,5,Y,F,White (non-Hispanic),Bachelors,,
[Mid-sized Art Museum in Massachusetts (not Boston)],Education Coordinator,Education,,USA,"30,000",2016,"32,000",P,,Yes,2019,5,,F,White,"BA, MA Preferred ",,
"[New York City, Art Museum, 50 employees]",Communications Manager,External Relations,New York,USA,"38,000",2013,"43,000",,,"Pension, health insurance",2017,5,0,F,,,,
"[Pine Bluff, AR]",Education Director,Education,,United States,"$30,000 ","$2,000.00 ","$30,879 (2002)",P,40,Medical Insurance,2002,5,,F,W,"Bachelors, no pay for education",,
[Profit gallery],Gallery Assistant,Art Gallery,Hong Kong,Hong Kong,"HKD 10,000","$2,018.00 ","HKD 11,000",P,,Annual Leave...the end,2019,5,No,F,Hongkongnese, Bachelor's degree,No,
Canadian National Museum,Curatorial Projects Coordinator,,Halifax,Canada,40 000/year,,42 000/year,P / Full Time,37.5 hours per week,Yes - comprehensive federal standard,2014,5,,F,Caucasian,BA and certificate/degree in Museum studies,,
Colonial Williamsburg,Apprentice,Historic Trades,Williamsburg,United States,$14.62 ,"$2,016.00 ",$16.14 ,H P,,"Health insurance, 10 days vacation, 20 days unusable sick time",2019,5,6 weeks plus vacation time. Mother only.,F,White,Bachelor's but master's preferred ( plus experience in the trade),No,
Dia Art Foundation ,Producer,Curatorial ,New York City,USA,$18 ,"$2,017.00 ",$18 ,H,Part Time,No,2019,5,No,F,Whire,MA,No,
Holocaust museum ,Director of Collections ,,New York ,United States ,"$51,000 ",2017,"$51,000 ",P,,"Insurance and paid leave, no 401k",2019,5,No ,F,,MA,,
SFMOMA,Preparator I,Installation,San Francisco,USA ,"$21/hr (temporary 6 mo, moved to full time)","$2,015.00 ",$27/hr (union),H,,Yes ,2019,5,,F,white,Art degree preferred,,Hourly rates are union negotiated. 
"[Florida, University Museum, 5 FT, 1 PT]",Manager of Visitor Services,University Museums,Melbourne,USA,"26,000 Salary",2013,17.14 hourly,H/P (started as salaried),,"Medical, dental, vision, matching retirement",2019,6,NA,F,,,,
[Private Collection (Oklahoma)],Collections Manager/Registrar,Registration,,United States,"$60,000.00 ","$2,015.00 ","$63,000.00 ",(P),,$400 added to monthly salary for health insurance costs; no other benefits,2019,6,N/A,F,W,,,
"[Small Nonprofit Art Gallery in Texas, non-collecting]",Exhibitions Curator,,Rural Texas,USA,"$26,000 ",2013,"$53,000 ",P,,"full, over a month paid vacation",2019,6,,F,Multiracial,,,
[University Gallery],Director,College of Arts & Sciences,Dallas,PA,"60,000",2018,"61,200",P,,"Yes (Medical, Dental, Vision, Tuition for immediate family)",2019,6,yes,F,Southeast Asian,Masters; (Institution allowed time to finish PhD),,"teaching optional, can make additional 6,000 for adjunct at same institution; institution encourages and pays for professional development and participation in academic and professional conferences"
Tri-State Museum and Visitor Center,Collections archivist,Archives,Belle Fourche,US (SD),"$25,896.00 ",,"$26,748.00 ","full time, hourly",40/week,"Yes- health, dental, vision, pension, PTO",2019,6,comes out of PTO,F,White/Hispanic,"Bachelors, Masters preferred (I have MLIS/archives)",,municipal government position with annual raises between 1-5%.
University of Michigan Museum of Art ,Associate Curator ,Curatorial ,Ann Arbor,United States,$50.00 ,2015,$54.11 ,P,,Yes,2019,6,,F,,,Yes,
[Midwestern University Library],Conservator,Library,Illinois,USA,"52,000",2018,"52,000",P,,"Health, vacation, sick",2019,7,3 mos family leave,F,white,MLIS,,
[Single-employee Historic House Museum],Collections Manager,,,United States,18$/hr,"$2,015.00 ",21$/hr,H,20,None,2019,7,None,F,White,,,
Smithsonian Natural History NMNH,Chief,Education,Washington DC,United States,"116,000","$2,012.00 ","139,000",P,,Y,2016,7,none,F,,,,
[Large Midwest Museum],Archivist,Archives,MI,US,"35,000",,"38,000",P,,Y,2019,8,N,F,,MA/MLIS,,
[New York City art museum],Director of Partnerships,Development,New York,US,"$82,500 ",2013,"$85,000 (2016)",P,,Yes,2016,8,Unknown,F,White,BA,No,
"[New York City, fashion museum, non-profit]",Associate Conservator,Conservation,New York City,USA,"$62,000 ","$2,018.00 ","$65,000 ",P,,"Medical, dental, vision, retirement",2019,8,Sick and vacation time is used ,F,White,Masters,Unknown,
Exploratorium,Assistant Manager,-,San Francisco,USA,"44,000","$2,014.00 ","$52,000.00 ",Permanent and Exempt,NA,Yes,2018,8,Yes + fathers,F,2 + races,Graduate degree.,NA,
Natural History Museum Los Angeles County,Collections Assistant,La Brea Tar Pits,Los Angeles,USA,15,2016,,C,16,No,2016,8,,F,W,"MA, did not help",,
[intentionally left blank],Executive Assistant,Directors Office,Houston,Usa,"70,000",2019,"70,000",P,,Yes,2019,9,Yes,F,,,,
[Academic Art Museum],Curator of Academic Programs,Education,,USA,"45,000",2012,"62,000",P,,Generous,2019,10,4 weeks parental leave,F,White,MA,,
"[Small non-collecting university gallery, Midwest]",Director/Curator,Administration,,US,"$50,000.00 ",,"$53,000.00 ","FT, P",,Y,2014,10,,F,POC,MA preferred,,
"[Small/Mid-Size Museum, <50 employees]",Registrar,Curatorial, NYC Metro Area,,"45,000",2017,,P,,,,10,,F,,MA,,
[University art galleries with permanent collection],Curator of Collections and Exhibitions,Academic Affairs,Southern California,USA,"26,289",2013,"61,540",P,,"Retirement, dental, life insurance, vision, health, and disability",2019,10,"Unpaid, FMLA after 1 year service",F,Latino and white. White-passing,Requested Master's/no assistance,,"Only employee to manage permanent collections and 10-12 rotating exhibits per year, plus 3-4 part time, temporary student workers and interns. "
Artforum Magazine,Freelance staff writer,"Reviews, critics picks, profiles ",,USA ,"$50 per online article (250-500 words), $200 per print review (600 words)","$2,013.00 ",Same as starting ,Freelance,Freelance ,No,2019,10,N/a for freelancers ,F,White ,"Masters an unwritten requirement, no tuition assistance (or other such as travel expenses) for freelancers ",No,
Freelance Editor,"Copyeditor, Proofreader, Developmental Editor for museums, galleries, artists, art historians",Editorial,Multiple,USA,$30 ph,"$2,015.00 ",$50-100 ph,H,none to 60,,2019,10,,F,White,PhD,,I supplement my freelance income with an academic job with benefits.
Historic Bethlehem Museums and Sites,"Manager of Visitor Experience, Site Rentals Manager, and Volunteer and Internship Coordinator",Visitor Experience,Bethlehem ,US,$10 ,2014,$12 ,H,40,Health care and rental commission on completion,2017,10,,F,White,High school,,
LACMA,Digital,Digital,Los Angeles,US,"82,000",2014,"83,000",2016,FTE,Yes,2016,10,Unknown,F,White,Unknown,Unknown,
Metropolitan Museum of Art,Analyst/Developer,Digital,,US,"$70,000.00 ",,"$78,000.00 ",P,,,2019,10,,F,White,"MLIS or Computer Science, or equivalent experience",,5 weeks paid vacation
Metropolitan Museum of Art,Development Officer,Development,NYC,USA,"$65,000 ",,"$74,000 ",P,,Full benefits,2019,10,,F,White,,,
MoMA,Associate Educator,Education,New York City,USA,"62,000",2010,"66,000",P,,"insurance, vacation, sick",,10,,F,,MA preferred,,You should add a column for degrees held!  Great job on this!
